id,name,lon,lat
SN12680,LILLEHAMMER - SÆTHERENGEN,10.4762,61.0917
SN50110,KVAM - AKSNESET,6.2175,60.3372
SN99841,SVALBARD LH - PLATÅBERGET,15.3595,78.2342
SN99500,SKOGFOSS,29.692,69.3717
SN2200300,VAJDA-GUBA,31.9786111111111,69.9361111111111
SN64510,TINGVOLL,8.1862,62.9133
SN1070800,SAARBRUECKEN/ENSHEIM,7.10777777777778,49.2127777777778
SN17650,E6 VESTBY,10.7395,59.6002
SN830600,PALMA DE MALLORCA/SON SAN JUAN,2.73666666666667,39.5608333333333
SN42810,TONSTAD - NETTFED,6.709,58.6642
SN30330,GJERPEN - ÅRHUS,9.5772,59.2268
SN51010,FOSSMARK,5.7243,60.5205
SN3370,ØSAKER,11.0422,59.3193
SN1277200,MISKOLC,20.7266666667,48.0947222222
SN99090,E6 GANDVIKBAKKEN,29.1303,70.0278
SN44730,SANDNES - ROVIK,5.7592,58.8662
SN1213500,HEL,18.8119444444444,54.6036111111111
SN4590,E16 ROMERIKSÅSEN,10.7475,60.2755
SN71385,FV715 HOGSDALEN,10.2425,63.6965
SN51800,MJØLFJELL UH,6.9373,60.7022
SN31900,TUDDAL,8.8083,59.7463
SN255200,MALEXANDER,15.2361111111111,58.0719444444444
SN57380,RV5 LUNDEBOTN,6.657,61.5158
SN17895,E18 SVARTSKOG,10.76,59.794
SN56420,FURENESET,5.0443,61.2928
SN240890,SVANEHOLM D,12.501,59.1744
SN80707,GLOMFJORD - TVERRFJELLET,13.9067,66.8303
SN99862,BREINOSA - BLOCKFIELD PLATEAU,16.0665,78.143
SN59695,ØRSTA - EITREFJELL,6.2877,62.16
SN91150,LYNGEN - URA,20.0923,69.5886
SN18317,OSLO - ELVEBAKKEN,10.7528,59.9188
SN1022400,BREMEN,8.79944444444445,53.0463888888889
SN70820,UTGÅRD,11.729,64.1163
SN3280,RAKKESTAD - SANDER,11.3937,59.4617
SN292900,LIPERI JOENSUU AIRPORT,29.6113888888889,62.66
SN16271,HØVRINGEN II,9.4798,61.8883
SN44640,STAVANGER - VÅLAND,5.7278,58.9563
SN26580,DRAMMEN - BANGELØKKA,10.2142,59.731
SN47260,HAUGESUND LUFTHAVN,5.2115,59.3445
SN61310,FV63 TROLLSTIGEN,7.662,62.4515
SN53280,E16 FLÅM,7.1048,60.861
SN71780,ÅFJORD II,10.2237,63.9678
SN65060,E39 VALSØYFJORDEN,8.5602,63.1442
SN29720,DAGALI LUFTHAVN,8.5263,60.4188
SN94640,E69 NORDKAPP,25.7742,71.1575
SN62270,MOLDE LUFTHAVN,7.2617,62.7443
SN1327200,BEOGRAD/SURCIN,20.2833333333333,44.8166666666667
SN72650,OVERHALLA - UNNSET,11.8397,64.4815
SN37310,GRYTÅI,8.3442,59.1723
SN1016200,SCHWERIN,11.3872222222222,53.6425
SN54590,E16 HONING BRU,8.0172,61.1022
SN306600,KINLOSS,-3.56361111111111,57.6455555555556
SN30285,SKIEN - BORGEÅSEN,9.6638,59.1642
SN27262,TØNSBERG - KARLSVIK,10.5145,59.2952
SN224400,JUNSELE,16.95,63.6833333333333
SN223000,GUBBHOGEN,15.5563888888889,64.2183333333333
SN1258000,RZESZOW-JASIONKA,22.02,50.1113888888889
SN13750,ØVRE HEIMDALSVATN,8.8945,61.4183
SN99763,REINDALSPASSET,17.0442,78.0648
SN19923,E18 LIERSKOGEN,10.33,59.819
SN54330,E16 BORGUND,7.8478,61.0795
SN52930,BREKKE I SOGN,5.425,60.9585
SN46300,SULDALSVATN,6.809,59.5887
SN231990,MARBY D,14.2939,63.122
SN223090,KYRKTÅSJÖ D,15.8478,64.2485
SN1632000,BRINDISI,17.9516,40.6578
SN88010,E6 GRATANGSFJELLET,17.9052,68.6753
SN20470,E16 BEKKEHALLUM,10.5295,60.2822
SN19815,FV281 STORSAND HURUM,10.6038,59.6415
SN99880,PYRAMIDEN,16.3603,78.6557
SN397000,CLAREMORRIS,-8.98333333333333,53.7166666666667
SN90630,FV863 GAMNES,19.4737,69.903
SN224310,BACKE D,16.4058,63.8148
SN1653900,CAPO FRASCA,8.45944444444445,39.7411111111111
SN47170,NORHEIM,5.3115,59.3755
SN27271,TØNSBERG GJESTEHAVN,10.4019,59.27
SN87750,GAUSVIK,16.4947,68.609
SN26840,KROKSTADELVA - LANGELØKKA,10.0123,59.7658
SN96650,FV98 IFJORDFJELLET,27.5915,70.4275
SN401800,KEFLAVIKURFLUGVOLLUR,-22.58758,63.97468
SN47610,BASURA,6.0873,59.6357
SN79720,LAPPSÆTRA,14.8892,66.2785
SN8780,LI BRU,10.0003,62.0103
SN12180,ILSENG,11.2028,60.8028
SN68290,SELBU II,11.0075,63.2248
SN729200,LUXEUIL,6.36444444444444,47.7869444444444
SN212620,BLAIKEN D,16.857,65.2511
SN90495,STAKKEVOLLAN,18.982,69.6942
SN33300,HONNEGRASNUTEN,7.8173,59.7675
SN99754,HORNSUND,15.5353,77.0002
SN60242,ÅKNESSKARET,6.9869,62.1883
SN66630,FV700 VOLL,9.8413,62.8763
SN27800,HEDRUM,9.9641,59.196
SN18245,OSLO - AMMERUD,10.8737,59.9652
SN77280,LAKSFORS,13.2892,65.6215
SN76939,VALHALL A,3.3928,56.2781
SN27540,SANDEFJORD - GJEKSTAD,10.2558,59.1312
SN56250,E39 ÅBERGSDALEN,5.827,61.2922
SN19510,ØVREVOLL,10.6227,59.94046
SN76957,TROLL B,3.501,60.7735
SN26894,DRAMMEN - GULSKOGEN,10.1672,59.7413
SN55290,SOGNEFJELLHYTTA,7.9957,61.5648
SN296300,JOKIOINEN OBSERVATORY,23.4975,60.8138888888889
SN60870,SULA - LANGEVÅG,6.1922,62.4402
SN50526,RV555 SOTRABRUA VIND,5.1738,60.3725
SN3317700,Volodymyr-Volynskyi,24.3436111111111,50.8330555555556
SN19932,GLITREVANN,10.065,59.8562
SN39212,E39 FIDJANE,7.9397,58.1412
SN26230,FV287 SANDSBRÅTEN,9.5908,60.041
SN2210100,YANISKOSKI,28.7811111111111,68.9705555555555
SN27450,MELSOM,10.3483,59.23
SN76930,NORNE,8.085,66.0256
SN251800,NIDINGEN,11.9063888888889,57.3038888888889
SN98265,FV890 GEDNJE,29.0918,70.5292
SN63580,ÅNGÅRDSVATNET,9.1967,62.6708
SN90980,OLDERVIK,19.6647,69.7565
SN58780,NORDFJORDEID - NYMARK,6.0392,61.9183
SN99790,ISFJORD RADIO,13.6192,78.0625
SN55550,HAFSLO,7.1887,61.2925
SN244120,LEKSAND,15.0167,60.7256
SN42720,BAKKE,6.657,58.4117
SN97251,KARASJOK - MARKANNJARGA,25.5023,69.4635
SN227190,HOLMFORS D,20.5185,64.7855
