id,name,countryCode,masl,lon,lat
SN50810,ÅSANE,NO,90.0,5.3418,60.4742
SN857100,PORTALEGRE,PT,597.0,-7.42138888888889,39.2941666666667
SN4040,ENEBAKK - BARBØL,NO,164.0,11.1535,59.75
SN44530,TJELTA,NO,29.0,5.5942,58.8437
SN14420,RV15 EIDEFOSSEN,NO,356.0,9.3032,61.8048
SN1193400,POPRAD/TATRY,SK,694.0,20.25,49.0666666666667
SN1618100,PERUGIA S. EGIDIO (16181-0),IT,212.0,12.5102777777778,43.0972222222222
SN4390,KLØFTA,NO,162.0,11.13165,60.0693
SN72710,OVERHALLA - SKOGMO,NO,32.0,12.0177,64.509
SN58705,RV15 STRYNEFJELL-KVITENOVA,NO,1400.0,7.3288,61.9878
SN42520,RISNES I FJOTLAND,NO,348.0,6.9443,58.6577
SN47275,E134 KARMSUNDBRUA,NO,48.0,5.2958,59.3755
SN98630,E75 KOMAGVÆR,NO,25.0,30.5303,70.2453
SN59800,SVINØY FYR,NO,38.0,5.268,62.3293
SN50245,FV48 TYSSE VEST,NO,39.0,5.6942,60.3643
SN1640000,USTICA,IT,242.0,13.1772222222222,38.7072222222222
SN292000,PIETARSAARI KALLAN,FI,2.0,22.5227777777778,63.7513888888889
SN263200,UTKLIPPAN,SE,2.0,15.7077777777778,55.9558333333333
SN52452,E39 NORDHORDLANDSBRUA,NO,17.0,5.267,60.5225
SN802300,SANTANDER,ES,52.0,-3.80055555555556,43.4911111111111
SN23410,FAGERNES LUFTHAMN,NO,822.0,9.3014123,61.0032006
SN1666700,MYTILINI (AIRPORT),GR,18.0,26.6036111111111,39.0538888888889
SN59665,VOLDA BRANNSTASJON,NO,50.0,6.0842,62.1447
SN12680,LILLEHAMMER - SÆTHERENGEN,NO,240.0,10.4762,61.0917
SN50110,KVAM - AKSNESET,NO,13.0,6.2175,60.3372
SN99841,SVALBARD LH - PLATÅBERGET,SJ,435.0,15.3595,78.2342
SN99500,SKOGFOSS,NO,55.0,29.692,69.3717
SN2200300,VAJDA-GUBA,RU,8.0,31.9786111111111,69.9361111111111
SN64510,TINGVOLL,NO,23.0,8.1862,62.9133
SN1070800,SAARBRUECKEN/ENSHEIM,DE,320.0,7.10777777777778,49.2127777777778
SN17650,E6 VESTBY,NO,75.0,10.7395,59.6002
SN830600,PALMA DE MALLORCA/SON SAN JUAN,ES,8.0,2.73666666666667,39.5608333333333
SN42810,TONSTAD - NETTFED,NO,55.0,6.709,58.6642
SN30330,GJERPEN - ÅRHUS,NO,41.0,9.5772,59.2268
SN51010,FOSSMARK,NO,10.0,5.7243,60.5205
SN3370,ØSAKER,NO,45.0,11.0422,59.3193
SN1277200,MISKOLC,HU,161.0,20.7266666667,48.0947222222
SN99090,E6 GANDVIKBAKKEN,NO,84.0,29.1303,70.0278
SN44730,SANDNES - ROVIK,NO,19.0,5.7592,58.8662
SN1213500,HEL,PL,1.0,18.8119444444444,54.6036111111111
SN4590,E16 ROMERIKSÅSEN,NO,415.0,10.7475,60.2755
SN71385,FV715 HOGSDALEN,NO,232.0,10.2425,63.6965
SN51800,MJØLFJELL UH,NO,695.0,6.9373,60.7022
SN31900,TUDDAL,NO,464.0,8.8083,59.7463
SN255200,MALEXANDER,SE,197.0,15.2361111111111,58.0719444444444
SN57380,RV5 LUNDEBOTN,NO,346.0,6.657,61.5158
SN17895,E18 SVARTSKOG,NO,110.0,10.76,59.794
SN56420,FURENESET,NO,7.0,5.0443,61.2928
SN240890,SVANEHOLM D,SE,200.0,12.501,59.1744
SN80707,GLOMFJORD - TVERRFJELLET,NO,930.0,13.9067,66.8303
SN99862,BREINOSA - BLOCKFIELD PLATEAU,SJ,670.0,16.0665,78.143
SN59695,ØRSTA - EITREFJELL,NO,690.0,6.2877,62.16
SN91150,LYNGEN - URA,NO,60.0,20.0923,69.5886
SN18317,OSLO - ELVEBAKKEN,NO,15.0,10.7528,59.9188
SN1022400,BREMEN,DE,4.0,8.79944444444445,53.0463888888889
SN70820,UTGÅRD,NO,50.0,11.729,64.1163
SN3280,RAKKESTAD - SANDER,NO,144.0,11.3937,59.4617
SN292900,LIPERI JOENSUU AIRPORT,FI,121.0,29.6113888888889,62.66
SN16271,HØVRINGEN II,NO,940.0,9.4798,61.8883
SN44640,STAVANGER - VÅLAND,NO,72.0,5.7278,58.9563
SN26580,DRAMMEN - BANGELØKKA,NO,14.0,10.2142,59.731
SN47260,HAUGESUND LUFTHAVN,NO,24.0,5.2115,59.3445
SN61310,FV63 TROLLSTIGEN,NO,700.0,7.662,62.4515
SN53280,E16 FLÅM,NO,15.0,7.1048,60.861
SN71780,ÅFJORD II,NO,30.0,10.2237,63.9678
SN65060,E39 VALSØYFJORDEN,NO,25.0,8.5602,63.1442
SN29720,DAGALI LUFTHAVN,NO,798.0,8.5263,60.4188
SN94640,E69 NORDKAPP,NO,296.0,25.7742,71.1575
SN62270,MOLDE LUFTHAVN,NO,3.0,7.2617,62.7443
SN1327200,BEOGRAD/SURCIN,RS,96.0,20.2833333333333,44.8166666666667
SN72650,OVERHALLA - UNNSET,NO,26.0,11.8397,64.4815
SN37310,GRYTÅI,NO,645.0,8.3442,59.1723
SN1016200,SCHWERIN,DE,59.0,11.3872222222222,53.6425
SN54590,E16 HONING BRU,NO,742.0,8.0172,61.1022
SN306600,KINLOSS,GB,7.0,-3.56361111111111,57.6455555555556
SN30285,SKIEN - BORGEÅSEN,NO,75.0,9.6638,59.1642
SN27262,TØNSBERG - KARLSVIK,NO,3.0,10.5145,59.2952
SN224400,JUNSELE,SE,215.0,16.95,63.6833333333333
SN223000,GUBBHOGEN,SE,310.0,15.5563888888889,64.2183333333333
SN1258000,RZESZOW-JASIONKA,PL,211.0,22.02,50.1113888888889
SN13750,ØVRE HEIMDALSVATN,NO,1088.0,8.8945,61.4183
SN99763,REINDALSPASSET,SJ,181.0,17.0442,78.0648
SN19923,E18 LIERSKOGEN,NO,250.0,10.33,59.819
SN54330,E16 BORGUND,NO,410.0,7.8478,61.0795
SN52930,BREKKE I SOGN,NO,240.0,5.425,60.9585
SN46300,SULDALSVATN,NO,333.0,6.809,59.5887
SN231990,MARBY D,SE,325.0,14.2939,63.122
SN223090,KYRKTÅSJÖ D,SE,260.0,15.8478,64.2485
SN1632000,BRINDISI,IT,15.0,17.9516,40.6578
SN88010,E6 GRATANGSFJELLET,NO,344.0,17.9052,68.6753
SN20470,E16 BEKKEHALLUM,NO,385.0,10.5295,60.2822
SN19815,FV281 STORSAND HURUM,NO,12.0,10.6038,59.6415
SN99880,PYRAMIDEN,SJ,20.0,16.3603,78.6557
SN397000,CLAREMORRIS,IE,69.0,-8.98333333333333,53.7166666666667
SN90630,FV863 GAMNES,NO,8.0,19.4737,69.903
SN224310,BACKE D,SE,215.0,16.4058,63.8148
SN1653900,CAPO FRASCA,IT,89.0,8.45944444444445,39.7411111111111
SN47170,NORHEIM,NO,43.0,5.3115,59.3755
SN27271,TØNSBERG GJESTEHAVN,NO,3.0,10.4019,59.27
SN87750,GAUSVIK,NO,7.0,16.4947,68.609
SN26840,KROKSTADELVA - LANGELØKKA,NO,139.0,10.0123,59.7658
SN96650,FV98 IFJORDFJELLET,NO,357.0,27.5915,70.4275
